Concept,CodeMeta Field,Zenodo,Figshare,code.jsonld,Software Discovery Index,Software Ontology,OntoSoft,DataCite,Software Entities Model (DataCitei/JISC),Dublin Core,R Package Description,Debian Package Metadata,github,Concept Definition
CILink,contIntegration,-,-,-,-,-,-,-,,-,-,-,,A URL for the continuous integration system used to build the software
IssueLink,issueTracker,-,-,-,-,,sort of os:hasSoftwarefSupport (see Software Support below),-,,-,BugReports,-,issues_url,A URL for the issue tracking system used for the software
AccessList,accessList,access_right(public/embargo/private),access(private/public),-,-,-,-,-,,-,-,-,,The access policy governing access to the software
License,license,license,License,license,Software license,software license,License,Rights,Rights,license,License,-,,The name of the license agreement governing the use and redistribution of the software
Publisher,publisher,,,publisher,,software publisher organization,os:hasPublisher means metadata author,,Publisher,,-,-,,The publisher of the software
datePublished,datePublished,publication_date,date_retrieved,datePublished,-,-,-,PublicationYear,PublicationYear,date,Date,-,,The date the software was first made available for download by the publisher
dateCreated,dateCreated,-,-,dateCreated,-,-,-,Date(dateType = Created),,created,-,Date,created_at,The creation date of the software
dateModified,dateModified,-,-,dateModified,-,-,-,Date(dateType = Updated),Date (dateType = Issued),modified,-,-,updated_at,The latest modification date of the software
EmbargoDate,embargoDate,embargo_date,-,-,-,-,-,Date(dateType = Available),Date(dateType = Available),available,-,-,,A calendar date specifying the end of a restricted access period
Inputs,inputs,-,-,-,Formats for data inputs and outputs,data,hasInputs hasParameters,-,,-,-,-,,Objects used by the software
Outputs,outputs,-,-,-,Formats for data inputs and outputs,data,hasOutputs,-,,-,-,-,,Objects generated by the software
Function,function,-,-,-,Terms to describe software objectives or functions,Topic,hasUsesAndAssumptions hasUseLimitations hasBenchmarkInformation ,-,,-,-,-,,The role or objective that the software has
Dependency,dependency,-,-,dependency,"Platform, environment, and dependencies",-,hasDependency -> Software,-,,requires,Depends,-,,The computer hardware and software needed to run the software
Suggests,suggests,,,,,,hasSimilarSoftware hasInteroperableSoftware hasCompositionDescription,,,,,,,An external software component that could enhance the software package but is not strictly required
Relationship,relationship,,,,,-,hasRelevantDataSources,,"RelatedIdentifier(relationType=isPartOf), RelatedIdentifier(relationType=isVariantFormOf), RelatedIdentifier(relationType=isPreviousVersionOf), RelatedIdentifier(relationType=isNextVersionOf)",,-,-,,Relationship to other related resources
TestCoverage,testCoverage,-,-,-,-,-,hasTestData has TestInstructions,-,-,-,-,-,,-
DocsCoverage,docsCoverage,-,-,-,-,-,?,-,,-,-,-,,-
IsAutomated,isAutomatedBuild,-,-,-,-,-,?,-,,-,-,-,,-
Package,package,filename,-,-,-,-,?,-,,-,-,-,,-
ZippedCodeLink,zippedCode,-,file,-,-,-,?,-,,-,-,-,,A URL for the software distribution in compressed form.
Version,version,-,-,-,Software version,Version,hasSoftwareVersion hasVersionReleaseDate supersedes supersededBy,Version,Version,-,Version,Version,,The version of the software
InteractionMethod,interactionMethod,,,,,-,,,"ResourceType(resourceTypeGeneral=InteractiveResource),ResourceType(resourceTypeGeneral=Service)",,-,-,,-
ProgrammingLanguage,programmingLanguage,,,,,programming language,hasProgrammingLanguage,,Format,,-,-,,The computer programming language that the software is written in
SoftwareCitation,softwareCitation,,,,,,hasPreferredCitation,,,,,,,The citation of the software itself
SoftwarePaperCitation,softwarePaperCitation,,,,,Citation,,,,,,,,The citation of the paper that describes the research that the software was associated with
DownloadCount,downloadCount,,,,,,hasUseStatistics (see new row: UseInformation),,,,,,,A metric indicating the number of times that the software has been downloaded
CitationCount,citationCount,,,,,,hasUseStatistics (see new row: UseInformation),,,,,,,A metric indicating the number of times that the software has been cited
Funding,funding,,,,Associated grants,,hasFundingSource,,,,,,,The software funding source
RelatedPublications,relatedPublications,,,,Associated publications,,,,,,,,,Publications related to the software
Metadata author(s),,,,,,,os:hasPublisher means metadata author,,,,,,,From OntoSoft
,,,,,,,,,,,,,,
hasSoftwareCategory,,,,,,,,,,,,,,"From OntoSoft: Like tags, but may be organized in a hierarchy"
hasUsesAndAssumptions,,,,,,,,,,,,,,From OntoSoft: 
hasUseLimitations,,,,,,,,,,,,,,From OntoSoft: 
hasBenchmarkInformation ,,,,,,,,,,,,,,From OntoSoft: 
Usage Information ,,,,,,,os:hasUseInformation,,,,,,,"From OntoSoft: beyond citation counts and downloads, "
Use Statistics,,,,,,,os:hasUseStatistics,,,,,,,"From OntoSoft: beyond download and citation counts, this  includes"
VersionReleaseDate,,,,,,,os:hasVersionReleaseDate,,,,,,,From OntoSoft
"supersedes, supersededBy",,,,,,,"os:supersedes, os:supersededBy",,,,,,,"From OntoSoft: explicit mention of how versions are related, how to check that one is the latest"
SimilarSoftware ,,,,,,,os:hasSimilarSoftware ,,,,,,,From OntoSoft: software with a similar functionality
InteroperableSoftware ,,,,,,,os:hasInteroperableSoftware ,,,,,,,From OntoSoft: could be composed with other software
CompositionDescription,,,,,,,os:hasCompositionDescription,,,,,,,From OntoSoft: a workflow/pipeline made with the software
Active Development,,,,,,,os:activeDevelopment,,,,,,,"From OntoSoft: Whether it is still being developed, different from the last update date because the authors may be willing to contemplate more development but have not needed to for a while"
EmailContact,,,,,,,,,,,,,,From OntoSoft: where to ask general questions
RequiresAverageMemory,,,,,,,os:requiresAverageMemory,,,,,,,From OntoSoft: 
Average Run Time,,,,,,,os:AverageRunTime,,,,,,,From OntoSoft: 
supports operating system ,,,,,,,os:SupportsOperatingSystem,,,,,,,From OntoSoft: 
SoftwarefSupport,,,,,,,os:hasSoftwarefSupport,,,,,,,"From OntoSoft: Does not have to be an issue tracking, could be just a bug report email address"
Ratings,,,,,,,os:hasRatings,,,,,,,From OntoSoft: 
"PrideOfAuthorship, ""as is"" code",,,,,,,os:isAncillaryCode,,,,,,,"From OntoSoft 2.0: distinguish software where reputation rides, vs quick and dirty software that one takes no pride on"
