"","Concept","Concept Definition.x","Use Cases.x","CodeMeta Field.x","Zenodo.x","Figshare.x","code.jsonld.x","Software Discovery Index.x","Software Ontology.x","OntoSoft.x","DataCite.x","Software Entities Model (DataCitei/JISC).x","Dublin Core.x","R Package Description.x","Debian Package Metadata.x","GitHub","Concept Definition.y","Use Cases.y","CodeMeta Field.y","Zenodo.y","Figshare.y","code.jsonld.y","Software Discovery Index.y","Software Ontology.y","OntoSoft.y","DataCite.y","Software Entities Model (DataCitei/JISC).y","Dublin Core.y","R Package Description.y","Debian Package Metadata.y","github.x","Python Distutils (PyPI)","Trove Software Map","Perl Module Description (CPAN::Meta)","JavaScript package descption (npm)","Java (Maven)","Octave","Concept Definition","Use Cases","CodeMeta Field","Zenodo","Figshare","code.jsonld","Software Discovery Index","Software Ontology","OntoSoft","DataCite","Software Entities Model (DataCitei/JISC)","Dublin Core","R Package Description","Debian Package Metadata","github.y","ASCL"
"21","AccessList","The access policy governing access to the software","3, 10","accessList","access_right(public/embargo/private)","access(private/public)","-","-","-",NA,"-",NA,"-","-","-",NA,"The access policy governing access to the software",410,"accessList","access_right(public/embargo/private)","access(private/public)","-","-","-",NA,"-",NA,"-","-","-",NA,NA,NA,NA,"private",NA,NA,"The access policy governing access to the software","3","accessList","access_right(public/embargo/private)","access(private/public)","-","-","-",NA,"-",NA,"-","-","-",NA,NA
"22","License","The name of the license agreement governing the use and redistribution of the software","4, 7, 10","license","license","License","license","Software license","software license","License","Rights","Rights","license","License","-","license (https://developer.github.com/v3/licenses/#get-a-repositorys-license)","The name of the license agreement governing the use and redistribution of the software",4710,"license","license","License","license","Software license","software license","License","Rights","Rights","license","License","-",NA,"license, classifiers['License']","License","license","license","license","DESCRIPTION/License","The name of the license agreement governing the use and redistribution of the software","3, 10","license","license","License","license","Software license","software license","License","Rights","Rights","license","License","-",NA,NA
"23","Publisher","The publisher of the software","3, 4, 5, 6, 11","publisher",NA,NA,"publisher",NA,"software publisher organization","hasPublisher -> Agent",NA,"Publisher",NA,"-","-",NA,"The publisher of the software",5,"publisher",NA,NA,"publisher",NA,"software publisher organization","hasPublisher -> Agent",NA,"Publisher",NA,"-","-",NA,NA,NA,NA,NA,NA,NA,"The publisher of the software","3","publisher",NA,NA,"publisher",NA,"software publisher organization","hasPublisher -> Agent",NA,"Publisher",NA,"-","-",NA,NA
"24","datePublished","The date the software was first made available for download by the publisher","2, 3, 5, 11","datePublished","date_published","date_retrieved","datePublished","-","-",NA,"PublicationYear","PublicationYear","date","Date","-",NA,"The date the software was first made available for download by the publisher",45,"datePublished","publication_date","date_retrieved","datePublished","-","-",NA,"PublicationYear","PublicationYear","date","Date","-",NA,NA,NA,NA,NA,NA,"DESCRIPTION/Date","The date the software was first made available for download by the publisher","3,5,6","datePublished","publication_date","date_retrieved","datePublished","-","-",NA,"PublicationYear","PublicationYear","date","Date","-",NA,NA
"25","dateCreated","The creation date of the software","3, 4, 11","dateCreated","-","-","dateCreated","-","-",NA,"Date(dateType = Created)",NA,"created","-","Date","created_at","The creation date of the software",NA,"dateCreated","-","-","dateCreated","-","-",NA,"Date(dateType = Created)",NA,"created","-","Date","created_at",NA,NA,NA,NA,NA,NA,"The creation date of the software","3","dateCreated","-","-","dateCreated","-","-",NA,"Date(dateType = Created)",NA,"created","-","Date","created_at",NA
"26","dateModified","The latest modification date of the software","3, 4, 11","dateModified","-","-","dateModified","-","-",NA,"Date(dateType = Updated)","Date (dateType = Issued)","modified","-","-","updated_at","The latest modification date of the software",10,"dateModified","-","-","dateModified","-","-",NA,"Date(dateType = Updated)","Date (dateType = Issued)","modified","-","-","updated_at",NA,"last-updated",NA,NA,NA,NA,"The latest modification date of the software","3","dateModified","-","-","dateModified","-","-",NA,"Date(dateType = Updated)","Date (dateType = Issued)","modified","-","-","updated_at",NA
"27","EmbargoDate","A calendar date specifying the end of a restricted access period","3, 10,","embargoDate","embargo_date","-","-","-","-",NA,"Date(dateType = Available)","Date(dateType = Available)","available","-","-",NA,"A calendar date specifying the end of a restricted access period",412,"embargoDate","embargo_date","embargo_date","-","-","-",NA,"Date(dateType = Available)","Date(dateType = Available)","available","-","-",NA,NA,NA,NA,NA,NA,NA,"A calendar date specifying the end of a restricted access period","3","embargoDate","embargo_date","-","-","-","-",NA,"Date(dateType = Available)","Date(dateType = Available)","available","-","-",NA,NA
"28","Inputs","Objects used by the software","1, 2, 3, 7, 8, 9","inputs","-","-","-","Formats for data inputs and outputs","data",NA,"-",NA,"-","-","-",NA,"Objects used by the software",137,"inputs","-","-","-","Formats for data inputs and outputs","data",NA,"-",NA,"-","-","-",NA,NA,NA,NA,NA,NA,NA,"Objects used by the software","3","inputs","-","-","-","Formats for data inputs and outputs","data",NA,"-",NA,"-","-","-",NA,NA
"29","Outputs","Objects generated by the software","1, 2, 3, 7, 8, 9","outputs","-","-","-","Formats for data inputs and outputs","data",NA,"-",NA,"-","-","-",NA,"Objects generated by the software",137,"outputs","-","-","-","Formats for data inputs and outputs","data",NA,"-",NA,"-","-","-",NA,NA,NA,NA,NA,NA,NA,"Objects generated by the software","3","outputs","-","-","-","Formats for data inputs and outputs","data",NA,"-",NA,"-","-","-",NA,NA
"30","Function","The role or objective that the software has","1, 3, 7","function","-","-","-","Terms to describe software objectives or functions","Topic",NA,"-",NA,"-","-","-",NA,"The role or objective that the software has",13,"function","-","-","-","Terms to describe software objectives or functions","Topic",NA,"-",NA,"-","-","-",NA,NA,NA,NA,NA,NA,NA,"The role or objective that the software has","1, 3","function","-","-","-","Terms to describe software objectives or functions","Topic",NA,"-",NA,"-","-","-",NA,NA
"31","Dependency","The computer hardware and software needed to run the software","1, 2, 3, 6, 7, 8, 9","dependency","-","-","dependency","Platform, environment, and dependencies","-","hasDependency -> Software","-",NA,"requires","Depends","-",NA,"The computer hardware and software needed to run the software",23789,"dependency","-","-","dependency","Platform, environment, and dependencies","-","hasDependency -> Software","-",NA,"requires","Depends; Imports; ‘Enhances’, ‘LinkingTo’ and ‘Additional_repositories’","-",NA,"install_requires","Database Environment","prereqs","dependencies / devDependencies / peerDependencies / bundledDependencies / optionalDependencies / cpu / engines","prerequisites","DESCRIPTION/Depends, DESCRIPTION/SystemRequirements, DESCRIPTION/BuildRequires","The computer hardware and software needed to run the software","1, 2, 3, 4, 7, 8, 9","dependency","-","-","dependency","Platform, environment, and dependencies","-","hasDependency -> Software","-",NA,"requires","Depends","-",NA,NA
"32","Suggests","An external software component that could enhance the software package but is not strictly required","1, 2, 3, 7","suggests","related_identifiers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"An external software component that could enhance the software package but is not strictly required",27,"suggests",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Suggests",NA,NA,NA,NA,"optional_features",NA,NA,NA,"An external software component that could enhance the software package but is not strictly required","1, 2","suggests",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Relationship","Relationship to other related resources",NA,"relationship",NA,NA,NA,NA,"-",NA,NA,"RelatedIdentifier(relationType=isPartOf), RelatedIdentifier(relationType=isVariantFormOf), RelatedIdentifier(relationType=isPreviousVersionOf), RelatedIdentifier(relationType=isNextVersionOf)",NA,"-","-",NA,"Relationship to other related resources",78,"relationship",NA,NA,NA,NA,"-",NA,NA,"RelatedIdentifier(relationType=isPartOf), RelatedIdentifier(relationType=isVariantFormOf), RelatedIdentifier(relationType=isPreviousVersionOf), RelatedIdentifier(relationType=isNextVersionOf)",NA,"-","-",NA,NA,NA,NA,NA,NA,NA,"Relationship to other related resources",NA,"relationship",NA,NA,NA,NA,"-",NA,NA,"RelatedIdentifier(relationType=isPartOf), RelatedIdentifier(relationType=isVariantFormOf), RelatedIdentifier(relationType=isPreviousVersionOf), RelatedIdentifier(relationType=isNextVersionOf)",NA,"-","-",NA,NA
"34","TestCoverage","-","1, but missing use case to understand software quality/standing","testCoverage","-","-","-","-","-",NA,"-","-","-","-","-",NA,"-",11,"testCoverage","-","-","-","-","-",NA,"-","-","-","-","-",NA,NA,NA,NA,NA,NA,NA,"-","3","testCoverage","-","-","-","-","-",NA,"-","-","-","-","-",NA,NA
"35","DocsCoverage","-","13, 1, 2, 3, 7, 8","docsCoverage","-","-","-","-","-",NA,"-",NA,"-","-","-",NA,"-",11,"docsCoverage","-","-","-","-","-",NA,"-",NA,"-","-","-",NA,NA,NA,NA,NA,NA,NA,"-",NA,"docsCoverage","-","-","-","-","-",NA,"-",NA,"-","-","-",NA,NA
"36","IsAutomated","-","13","isAutomatedBuild","-","-","-","-","-",NA,"-",NA,"-","-","-",NA,"-",2,"isAutomatedBuild","-","-","-","-","-",NA,"-",NA,"-","-","-",NA,NA,NA,NA,NA,NA,NA,"-",NA,"isAutomatedBuild","-","-","-","-","-",NA,"-",NA,"-","-","-",NA,NA
"37","Package","-",NA,"package","filename/?","-","-","-","-",NA,"-",NA,"-","-","-",NA,"-",NA,"package","filename","-","-","-","-",NA,"-",NA,"-","-","-",NA,"packages",NA,NA,NA,"packaging",NA,"Ask Zenodo what this is; may be the same as ""DownloadLink"" below","?","package","filename","-","-","-","-",NA,"-",NA,"-","-","-",NA,NA
"38","ZippedCodeLink","A URL for the software distribution in compressed form.",NA,"zippedCode","filename","file","-","-","-",NA,"-",NA,"-","-","-","archive_url","A URL for the software distribution in compressed form.",59,"zippedCode","-","file","-","-","-",NA,"-",NA,"-","-","-",NA,"download_url",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Version","The version of the software","2, 3, 4, 5, 6, 7, 8, 9, 11, 13","version","-","-","-","Software version","Version","Software Version","Version","Version","-","Version","Version",NA,"The version of the software",589,"version","-","-","-","Software version","Version","Software Version","Version","Version","-","Version; numeric_version","Version",NA,"version",NA,"version","version","version","DESCRIPTION/Version","The version of the software","2, 3, 5, 7, 8, 9","version","-","-","-","Software version","Version","Software Version","Version","Version","-","Version","Version",NA,NA
"40","InteractionMethod","-",NA,"interactionMethod",NA,NA,NA,NA,"-",NA,NA,"ResourceType(resourceTypeGeneral=InteractiveResource),ResourceType(resourceTypeGeneral=Service)",NA,"-","-",NA,"Command-line v. GUI v. Excel...., Entry points",37,"interactionMethod",NA,NA,NA,NA,"-",NA,NA,"ResourceType(resourceTypeGeneral=InteractiveResource),ResourceType(resourceTypeGeneral=Service)",NA,"-","-",NA,"entry_points?","User Interface",NA,NA,NA,NA,"-",NA,"interactionMethod",NA,NA,NA,NA,"-",NA,NA,"ResourceType(resourceTypeGeneral=InteractiveResource),ResourceType(resourceTypeGeneral=Service)",NA,"-","-",NA,NA
"41","ProgrammingLanguage","The computer programming language that the software is written in","1, 2, 3, 7, 8, 9","programmingLanguage",NA,NA,NA,NA,"programming language","Programming Language",NA,"Format",NA,"-","-","languages_url","The computer programming language that the software is written in",27,"programmingLanguage",NA,NA,NA,NA,"programming language","Programming Language",NA,"Format",NA,"-","-",NA,"classifiers['Programming Language']","Programming Language",NA,NA,NA,NA,"The computer programming language that the software is written in","1, 2, 3, 7, 8, 9","programmingLanguage",NA,NA,NA,NA,"programming language","Programming Language",NA,"Format",NA,"-","-",NA,NA
"42","SoftwareCitation","The citation of the software itself","3, 4, 5, 6","softwareCitation","notes ?",NA,NA,NA,NA,"Citation",NA,NA,NA,NA,NA,NA,"The citation of the software itself",3412,"softwareCitation",NA,NA,NA,NA,NA,"Citation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The citation of the software itself","3, 4, 5, 6","softwareCitation",NA,NA,NA,NA,NA,"Citation",NA,NA,NA,NA,NA,NA,"citation_method"
"43","SoftwarePaperCitation","The citation of the paper that describes the research that the software was associated with","3, 4, 5, 6","softwarePaperCitation","notes ?",NA,NA,NA,"Citation",NA,NA,NA,NA,NA,NA,NA,"The citation of the paper that describes the research that the software was associated with",3412,"softwarePaperCitation",NA,NA,NA,NA,"Citation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The citation of the paper that describes the research that the software was associated with","3, 4, 5, 6","softwarePaperCitation",NA,NA,NA,NA,"Citation",NA,NA,NA,NA,NA,NA,NA,NA
"44","DownloadCount","A metric indicating the number of times that the software has been downloaded","6, 4, 3","downloadCount",NA,NA,NA,NA,NA,"Usage Statistics",NA,NA,NA,NA,NA,NA,"A metric indicating the number of times that the software has been downloaded",4,"downloadCount",NA,NA,NA,NA,NA,"Usage Statistics",NA,NA,NA,NA,NA,NA,NA,"download-stats",NA,NA,NA,NA,"A metric indicating the number of times that the software has been downloaded","3","downloadCount",NA,NA,NA,NA,NA,"Usage Statistics",NA,NA,NA,NA,NA,NA,NA
